model,model_id,strategy,correct,total,invalid,accuracy_percent,provider,seed,repeat_seed,dataset,rag_source,rag_scope,rag_contexts_available,measured_at,accuracy_std_percent
DeepSeek-V4-Pro,deepseek-chat,RAG,87,100,1,87.0000,deepseek-api,4042,4042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,85,2026-08-20T08:13:05.283737+00:00,
DeepSeek-V4-Pro,deepseek-chat,RAG,,500,,85.8000,deepseek-api,42,summary,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,85,2026-08-20T08:13:05.283737+00:00,1.6432
DeepSeek-V4-Pro,deepseek-chat,CoVe,87,100,1,87.0000,deepseek-api,42,42,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,83,2026-08-20T08:15:36.183995+00:00,
DeepSeek-V4-Pro,deepseek-chat,CoVe,91,100,0,91.0000,deepseek-api,1042,1042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,90,2026-08-20T08:25:07.236001+00:00,
DeepSeek-V4-Pro,deepseek-chat,CoVe,85,100,1,85.0000,deepseek-api,2042,2042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,79,2026-08-20T08:35:00.008516+00:00,
DeepSeek-V4-Pro,deepseek-chat,CoVe,83,100,2,83.0000,deepseek-api,3042,3042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,89,2026-08-20T08:44:21.284027+00:00,
DeepSeek-V4-Pro,deepseek-chat,CoVe,87,100,1,87.0000,deepseek-api,4042,4042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,85,2026-08-20T08:53:32.044129+00:00,
DeepSeek-V4-Pro,deepseek-chat,CoVe,,500,,86.6000,deepseek-api,42,summary,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,85,2026-08-20T08:53:32.044129+00:00,2.9665
DeepSeek-V4-Pro,deepseek-chat,RAG+CoVe,87,100,2,87.0000,deepseek-api,42,42,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,83,2026-08-20T09:03:18.174681+00:00,
DeepSeek-V4-Pro,deepseek-chat,RAG+CoVe,86,100,6,86.0000,deepseek-api,1042,1042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,90,2026-08-20T09:11:38.493471+00:00,
DeepSeek-V4-Pro,deepseek-chat,RAG+CoVe,88,100,0,88.0000,deepseek-api,2042,2042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,79,2026-08-20T09:20:11.523591+00:00,
DeepSeek-V4-Pro,deepseek-chat,RAG+CoVe,88,100,2,88.0000,deepseek-api,3042,3042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,89,2026-08-20T09:28:36.883180+00:00,
DeepSeek-V4-Pro,deepseek-chat,RAG+CoVe,84,100,4,84.0000,deepseek-api,4042,4042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,85,2026-08-20T09:36:41.993852+00:00,
DeepSeek-V4-Pro,deepseek-chat,RAG+CoVe,,500,,86.6000,deepseek-api,42,summary,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,85,2026-08-20T09:36:41.993852+00:00,1.6733
DeepSeek-V4-Flash,deepseek-chat,Baseline,86,100,1,86.0000,deepseek-api,42,42,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,83,2026-08-20T09:44:58.017511+00:00,
DeepSeek-V4-Flash,deepseek-chat,Baseline,88,100,2,88.0000,deepseek-api,1042,1042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,90,2026-08-20T09:47:11.185459+00:00,
DeepSeek-V4-Flash,deepseek-chat,Baseline,85,100,1,85.0000,deepseek-api,2042,2042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,79,2026-08-20T09:49:34.003799+00:00,
DeepSeek-V4-Flash,deepseek-chat,Baseline,83,100,1,83.0000,deepseek-api,3042,3042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,89,2026-08-20T09:57:12.097537+00:00,
DeepSeek-V4-Flash,deepseek-chat,Baseline,88,100,1,88.0000,deepseek-api,4042,4042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,85,2026-08-20T10:04:52.321112+00:00,
DeepSeek-V4-Flash,deepseek-chat,Baseline,,500,,86.0000,deepseek-api,42,summary,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,85,2026-08-20T10:04:52.321112+00:00,2.1213
DeepSeek-V4-Flash,deepseek-chat,RAG,86,100,1,86.0000,deepseek-api,42,42,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,83,2026-08-20T10:09:46.061923+00:00,
DeepSeek-V4-Flash,deepseek-chat,RAG,88,100,1,88.0000,deepseek-api,1042,1042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,90,2026-08-20T10:12:34.300885+00:00,
DeepSeek-V4-Flash,deepseek-chat,RAG,87,100,0,87.0000,deepseek-api,2042,2042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,79,2026-08-20T10:15:34.291966+00:00,
DeepSeek-V4-Flash,deepseek-chat,RAG,90,100,2,90.0000,deepseek-api,3042,3042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,89,2026-08-20T10:18:38.345647+00:00,
DeepSeek-V4-Flash,deepseek-chat,RAG,86,100,0,86.0000,deepseek-api,4042,4042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,85,2026-08-20T10:21:58.935887+00:00,
DeepSeek-V4-Flash,deepseek-chat,RAG,,500,,87.4000,deepseek-api,42,summary,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,85,2026-08-20T10:21:58.935887+00:00,1.6733
DeepSeek-V4-Flash,deepseek-chat,CoVe,86,100,1,86.0000,deepseek-api,42,42,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,83,2026-08-20T10:24:38.963692+00:00,
DeepSeek-V4-Flash,deepseek-chat,CoVe,91,100,2,91.0000,deepseek-api,1042,1042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,90,2026-08-20T10:35:43.699793+00:00,
DeepSeek-V4-Flash,deepseek-chat,CoVe,91,100,0,91.0000,deepseek-api,2042,2042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,79,2026-08-20T10:46:53.215365+00:00,
DeepSeek-V4-Flash,deepseek-chat,CoVe,89,100,1,89.0000,deepseek-api,3042,3042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,89,2026-08-20T10:57:33.279917+00:00,
DeepSeek-V4-Flash,deepseek-chat,CoVe,92,100,0,92.0000,deepseek-api,4042,4042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,85,2026-08-20T11:08:19.270308+00:00,
DeepSeek-V4-Flash,deepseek-chat,CoVe,,500,,89.8000,deepseek-api,42,summary,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,85,2026-08-20T11:08:19.270308+00:00,2.3875
DeepSeek-V4-Flash,deepseek-chat,RAG+CoVe,85,100,1,85.0000,deepseek-api,42,42,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,83,2026-08-20T11:19:08.742613+00:00,
DeepSeek-V4-Flash,deepseek-chat,RAG+CoVe,92,100,2,92.0000,deepseek-api,1042,1042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,90,2026-08-20T11:28:26.851814+00:00,
DeepSeek-V4-Flash,deepseek-chat,RAG+CoVe,88,100,0,88.0000,deepseek-api,2042,2042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,79,2026-08-20T11:38:07.486139+00:00,
DeepSeek-V4-Flash,deepseek-chat,RAG+CoVe,89,100,2,89.0000,deepseek-api,3042,3042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,89,2026-08-20T11:47:40.610304+00:00,
DeepSeek-V4-Flash,deepseek-chat,RAG+CoVe,85,100,3,85.0000,deepseek-api,4042,4042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,85,2026-08-20T11:57:14.230571+00:00,
DeepSeek-V4-Flash,deepseek-chat,RAG+CoVe,,500,,87.8000,deepseek-api,42,summary,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,85,2026-08-20T11:57:14.230571+00:00,2.9496
